Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0805,2,22uF,
"C11, C2",0603,2,22uF,
C12,0603,1,150pF,
"C3, C4",0805,2,10uF,
C5,0805,1,1uF,
C7,CP_Radial_D5.0mm_P2.50mm,1,100uF,
"D1, D4, D5, D6",D_SMA,4,D,
"D2, D3",0603,2,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J2,AMPHENOL_BC3550Y0302A,1,BC3550Y0302A,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"L1, L2",L_10.4x10.4_H4.8,2,22uH,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R10, R11, R2, R3, R4, R7, R8",0603,8,10k,
R12,0603,1,1.4k,
"R13, R14, R6, R9",0603,4,1k,
R15,0603,1,210k,
R16,0603,1,40.2k,
R17,0603,1,1M,
"R18, R20",0603,2,100k,
R19,0603,1,24.9k,
R21,0603,1,200k,
R5,0603,1,4.7k,
RV1,Potentiometer_ACP_CA14-VSMD_Vertical,1,10K,
"TP1, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,5,TestPoint_Alt,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U2,SOT-23-6,1,MT3608,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U5,SOIC127P600X170-9N,1,MP1584EN,
