Designator,Mid X,Mid Y,Rotation,Layer
C1,149.41,-85.69,270.0,top
C11,136.48,-77.025,270.0,top
C12,135.355,-91.596667,180.0,top
C2,159.15,-94.605,270.0,top
C3,144.96,-100.115,180.0,top
C4,156.55,-100.08,270.0,top
C5,127.66,-96.87,0.0,top
C7,123.09,-95.494888,270.0,top
C9,128.45,-103.83,90.0,top
D1,156.59,-91.22,90.0,top
D2,143.91,-105.85,90.0,top
D3,145.55,-105.88,90.0,top
D4,125.92,-100.29,180.0,top
D5,163.46,-92.98,180.0,top
D6,163.46,-96.59,180.0,top
H1,172.5,-71.5,0.0,top
H2,172.5,-104.5,0.0,top
H3,118.5,-104.5,0.0,top
H4,118.5,-71.5,0.0,top
J1,117.24,-88.0,0.0,top
J2,170.6,-96.74,90.0,bottom
J3,174.075,-88.0,0.0,top
L1,148.95,-93.16,0.0,top
L2,135.06,-101.61,270.0,top
Q1,163.9825,-86.7,180.0,top
Q2,163.9725,-83.18,180.0,top
R1,134.95,-77.015,270.0,top
R10,155.53,-82.805,270.0,top
R11,155.53,-85.865,270.0,top
R12,156.8,-103.515,270.0,top
R13,144.74,-101.905,180.0,top
R14,144.72,-103.465,0.0,top
R15,131.635,-86.165,270.0,top
R16,132.39,-88.45,0.0,top
R17,123.76,-72.24,90.0,top
R18,135.355,-93.173333,180.0,top
R19,135.355,-94.75,0.0,top
R2,122.23,-80.315,270.0,top
R20,135.355,-90.02,0.0,top
R21,124.93,-91.34,270.0,top
R3,123.78,-80.315,90.0,top
R4,123.77,-77.015,90.0,top
R5,122.22,-77.015,270.0,top
R6,160.425,-85.75,0.0,top
R7,134.94,-80.095,270.0,top
R8,136.48,-80.09,90.0,top
R9,160.4725,-82.24,0.0,top
RV1,145.7,-76.41,180.0,top
TP1,133.88,-71.2,0.0,top
TP3,129.412639,-72.93,0.0,top
TP4,119.74,-79.49,0.0,top
TP5,126.26,-83.25,0.0,top
TP6,170.49,-92.93,180.0,top
U1,129.695,-78.065,270.0,top
U2,152.5975,-85.9,0.0,top
U3,150.425,-101.6,90.0,top
U5,129.68,-92.6,180.0,top
